id,Ajami,Wolof_attendu,Wolof_predit,category,operations
1034,"كاو, گێرێم ياللا, با نوپپي مو دامم","kaw, gërëm Yàlla, ba noppi mu damm","kaw, gërëm Yàlla, ba noppi mu dàmm",Diacritique / accent,replace
1035,"يووخ گو رێي,راسەل مووي جووي اي دوومامتە","yuux gu réy,Rasel mooy jooy ay doomamte","yuux gu réy,rasel mooy jooy ay doomamte",Majuscule / minuscule,replace
1036,خامااكوونو,xamaakoonu,xamaakuonu,Substitution,replace
1037,"فەكك بووبا مو رومب فا, جۆگە چا","Fekk booba mu romb fa, jóge ca","fekk booba mu romb fa, jóge ca",Majuscule / minuscule,replace
1038,"فيليب مو ڠا دێككوون بەتسايدا, دێككو اندارە اك پييەەر.","Filib mu nga dëkkoon Betsayda, dëkku Andare ak Piyeer.","filib mu nga dëkkoon betsayda, dëkku Andare ak Piyeer.",Majuscule / minuscule,replace | replace
1039,نداوول,ndawul,Nddawul,Duplication / répétition,replace
1040,ماا ڠي سانت ياللا چي لي ما,Maa ngi sant Yàlla ci li ma,maa ngi sant Yàlla ci li ma,Majuscule / minuscule,replace
1041,"چا ێللێگ سا چا فاجار, مو دەللو","Ca ëllëg sa ca fajar, mu dellu","ca ëllëg sa ca fajar, mu dellu",Majuscule / minuscule,replace
1042,"سا مبير دو دێگگ, واايە ياا ڠي","sa mbir du dëgg, waaye yaa ngi","sa mbir du dégg, waaye yaa ngi",Diacritique / accent,replace
1043,ڽو رێچچ كو.,Ñu rëcc ko.,ñu rëcc ko.,Majuscule / minuscule,replace
1044,نە لەەن: «لێەگي ڽو جێببال دوومو نيت,ne leen: «Léegi ñu jébbal Doomu nit,ne leen: «Léegi ñu jébbal doomu nit,Majuscule / minuscule,replace
